baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Etv5	3325.073630119	-2.60891289307035	0.193062066824036	-13.5133376327532	0.0000000000000000000000000000000000000000130469615102785	0.0000000000000000000000000000000000000363331784138235
Cd109	793.981506611661	-2.60676042195394	0.403495523283935	-6.4604444697137	0.000000000104395897292385	0.00000000950070897973309
Anpep	564.06090557017	-2.59363519286785	0.664508696995774	-3.90308690404445	0.0000949735823069565	0.00194186807642006
Plekhh2	57.9959707811211	-2.58992051099414	0.894441138934407	-2.89557400510407	0.00378465779423686	0.0372684406838431
Slc1a4	312.410076208277	-2.57035249436261	0.563183720733311	-4.56396802630553	0.00000501957268639561	0.000150955788521323
Cachd1	238.157389779611	-2.56903851204712	0.790206022642125	-3.25109963532967	0.00114959562427083	0.0145253806464129
Cd38	200.745353107018	-2.56119945215065	0.63126716462027	-4.0572353445491	0.0000496570374908141	0.001101242240053
Prune2	180.87924891277	-2.56118509798523	0.500749844775789	-5.11469973421959	0.000000314240423731614	0.0000130611452538477
Fam159b	288.655400576881	-2.53232476143069	0.555010726011588	-4.56265913927187	0.0000050509781656564	0.000151572887884913
Rcn1	142.854040915969	-2.52642265974102	0.5558005197034	-4.54555649046394	0.00000547902992806494	0.000162665272320632
Syt9	696.616443903841	-2.51890813727968	0.396552663339401	-6.35201417150439	0.000000000212513739798699	0.0000000183791385897956
Dhrs7	231.768891141496	-2.50551341126233	0.77087478325327	-3.25022100306419	0.00115315355512196	0.0145571261119838
Pet2	87.7565350079512	-2.50087238584073	0.726802857310133	-3.44092261152682	0.000579734318338865	0.00842611758721332
Ankrd45	102.691492837079	-2.49886263346965	0.621605340442211	-4.02001474390802	0.0000581944993098957	0.00125627939285424
B3gnt7	582.066645625943	-2.49065762801557	0.370410536479188	-6.72404638293952	0.0000000000176746128483044	0.00000000178334282101298
Arntl2	145.131078203922	-2.48754172614114	0.561467842716686	-4.43042599573479	0.00000940471183271094	0.000264547894057913
Pecam1	2409.19905392179	-2.48167221193093	0.199790416285487	-12.421377651993	0.0000000000000000000000000000000000200085993213623	0.0000000000000000000000000000000348249671188311
Plscr1	75.1411454220438	-2.45957236110022	0.82773304860419	-2.97145603313509	0.00296391308979058	0.0309831275242072
Zbtb4	135.433771208938	-2.45426112376647	0.816802858599459	-3.00471661910525	0.00265828392398388	0.0283631765191966
Prdm14	211.40200835101	-2.45258452153831	0.508304371431711	-4.82503133827133	0.00000139981255568991	0.0000493442785453832
Oas1e	154.44514631681	-2.44639816990854	0.721051380112217	-3.39282086878165	0.000691768599257276	0.00974917608912784
Dhrs4	452.491592436714	-2.4446928861503	0.468759948792438	-5.21523413518585	0.00000018358519862357	0.00000801329249415234
Pdgfra	4603.32625434192	-2.43427203075387	0.272507225862477	-8.93287149744185	0.000000000000000000415091710122579	0.00000000000000014449342429367
Trpc5	276.36532169293	-2.42375078403827	0.68018829639725	-3.56335267289387	0.000366148229806331	0.00592131004857532
Psmb9	502.591680154346	-2.42209631831473	0.588720567028381	-4.11416969945601	0.000038857550782956	0.000901754228503131
